item,user,rating
7507825604,A108EEYSHGDL6O,5.0
9875961809,A1053TBGTIEQ8V,5.0
B000001ON6,A102L0RVI4LHH3,4.0
B00000J1V5,A105TOJ6LTVMBG,4.0
B00001P4ZH,A1027EV8A9PV1O,5.0
B00002EQCW,A100WO06OQR8BQ,5.0
B00002EQCW,A102EC3XGCBZ81,5.0
B00003CWFA,A108J5O7DG2WIM,5.0
B00004SABB,A10BMHSLDHDLCL,5.0
B00004SB92,A10ARISO1UMIUN,5.0
B00004TB3V,A10ARISO1UMIUN,5.0
B00004T8R2,A109KHEJL08HW9,5.0
B00004VXNF,A1087KNFOF40VD,5.0
B00004WLJ8,A1016Q5UDME15Z,5.0
B00004WLJ2,A1016Q5UDME15Z,5.0
B00004Z5KZ,A108J5O7DG2WIM,5.0
B00004Z5CP,A100WO06OQR8BQ,5.0
B00004Z5M1,A100UD67AHFODS,5.0
B00004Z62J,A105TOJ6LTVMBG,5.0
B0000511KL,A10ALOMJECNL2H,5.0
B0000510R4,A10BPU9QFBFPB2,5.0
B0000510IA,A10AFOU40FPKMQ,5.0
B0000512D3,A1016Q5UDME15Z,5.0
B0000512D3,A1016Q5UDME15Z,5.0
B0000512D3,A1016Q5UDME15Z,5.0
B00005125H,A101OAAMZYWQ3U,5.0
B00005ATMK,A108YS80LQZ0SO,5.0
B00005ATMI,A108YS80LQZ0SO,5.0
B00005LENO,A103OG69UZTK9,5.0
B00005N9D3,A102SZ9XZ1CK7Q,5.0
B00005T3EM,A107K10JTO8NSH,5.0
B00005T3X7,A100UD67AHFODS,5.0
B00005TQ08,A105OCSP35YJG9,5.0
B00006346W,A0543376H9JO8RU1OJJR,5.0
B0000631YQ,A107466OOBXHH7,5.0
B000063S4I,A108XABRHAA9E7,4.0
B0000668YX,A103HXJHUQQXAS,5.0
B0000668YX,A100WO06OQR8BQ,5.0
B0000668YX,A107K10JTO8NSH,4.0
B000067RTB,A10B6G6W3DW1EY,5.0
B000067RVB,A102EC3XGCBZ81,5.0
B000067RV3,A102EC3XGCBZ81,5.0
B000067RC4,A102SZ9XZ1CK7Q,5.0
B000067RC4,A10AKZ1VFMNCT4,1.0
B000067S60,A109KHEJL08HW9,5.0
B000067RHS,A10AARPB3N0GZM,5.0
B000067SOM,A10ARISO1UMIUN,5.0
B000067RCU,A102EC3XGCBZ81,5.0
B000069EUW,A100UD67AHFODS,5.0
B00006B81E,A1016Q5UDME15Z,5.0
B00006B81E,A0743345UFTOA4V1Z7W,4.0
B00006B81E,A1016Q5UDME15Z,5.0
B00006HSYC,A100WO06OQR8BQ,5.0
B00006HURK,A105TOJ6LTVMBG,4.0
B00006I5J7,A0743345UFTOA4V1Z7W,5.0
B00006IW1X,A1074GBGMK6136,5.0
B00006JI5H,A109XLG7SJQAIA,5.0
B00006JN3G,A101AENIWYBBS0,5.0
B00006JPRQ,A105TOJ6LTVMBG,5.0
B00006JPEA,A1053TBGTIEQ8V,5.0
B00006JPWW,A1070OT6C59GDR,5.0
B00006JQ7D,A109ZEBPQ5EXEG,5.0
B00006L7RV,A103W1P95BXW9T,5.0
B00006LUA9,A1016Q5UDME15Z,5.0
B00007AKDP,A101A5HAADYZMO,5.0
B00007FGUF,A100IX1FUK5IAW,1.0
B00007FGUF,A105TOJ6LTVMBG,5.0
B00007M1TZ,A103W1P95BXW9T,5.0
B00007M1TZ,A1016Q5UDME15Z,5.0
B00008VFCS,A10ARISO1UMIUN,5.0
B00008VF4A,A10ALOMJECNL2H,5.0
B000092TT0,A103W1P95BXW9T,5.0
B000093UPO,A10BPU9QFBFPB2,5.0
B000095SB4,A102EC3XGCBZ81,5.0
B0000990ZZ,A105TOJ6LTVMBG,4.0
B00009MVK8,A101A5HAADYZMO,5.0
B00009PGNT,A10BPU9QFBFPB2,5.0
B00009R97B,A105OCSP35YJG9,5.0
B00009R9A3,A106TZO4J5G1WQ,5.0
B00009R8VM,A101OAAMZYWQ3U,4.0
B00009RDIF,A10AFOU40FPKMQ,5.0
B0000AE6G9,A100WO06OQR8BQ,5.0
B0000AIS1V,A107CTGSINY3GJ,5.0
B0000AI0N1,A07936821FOVJO6NP4Q8,5.0
B0000AI0N1,A1016Q5UDME15Z,5.0
B0000ALPBA,A10ARISO1UMIUN,5.0
B0000AR0I4,A100UD67AHFODS,5.0
B0000AXQPA,A0743345UFTOA4V1Z7W,5.0
B0000BVYT3,A10BEX8J0MF8HE,5.0
B0000BVYT3,A102L0RVI4LHH3,5.0
B0000BVYT3,A10BNT57AVFPUG,5.0
B0000BVYT3,A100WO06OQR8BQ,5.0
B0000BZL8G,A107CTGSINY3GJ,5.0
B0000BZL83,A10063PJ5C9WQQ,5.0
B0000DBJ8A,A0220159ZRNBTRKLG08H,5.0
B0000DYV9N,A101AENIWYBBS0,5.0
B0000TU7I6,A101OAAMZYWQ3U,5.0
B0000Y5TI4,A101OAAMZYWQ3U,5.0
B00011CNXA,A108YS80LQZ0SO,5.0
B00016W6NC,A0817634JN8YPQ7L8C4V,5.0
B00016W6NC,A103L4TOHGBCXR,5.0
B00016W6NC,A103L4TOHGBCXR,5.0
B00017LSPI,A105OCSP35YJG9,5.0
B00017LSPI,A10B6G6W3DW1EY,4.0
B0001D3K8A,A100UD67AHFODS,5.0
B0001IVB1S,A1076PTK36UDX2,4.0
B0001LS35W,A1053TBGTIEQ8V,4.0
B0001LR1KU,A109KHEJL08HW9,5.0
B0001LR1KU,A10AFOU40FPKMQ,5.0
B0001LR1KU,A105TOJ6LTVMBG,5.0
B0001WE6U2,A105OCSP35YJG9,5.0
B000289E4S,A108EEYSHGDL6O,5.0
B00029MTMQ,A108GOZ37A7B75,4.0
B0002AHT0M,A102XAY1719I61,5.0
B0002BEPH6,A1099Y358WEMU3,5.0
B0002CPBWS,A100WO06OQR8BQ,5.0
B000067RVD,A102EC3XGCBZ81,5.0
B0002EXJ8Y,A108X1JFG00VOC,5.0
B0002EXF0Q,A1053TBGTIEQ8V,5.0
B0002GO77Y,A108AVZFCZ3UWD,5.0
B0002GRTZQ,A108GOZ37A7B75,5.0
B0002GX0ZE,A102YRTA0CBQ6I,5.0
B0002H0C7M,A0955928C2RRWOWZN7UC,4.0
B0002H0CQS,A105XE9Q2XWWZ3,5.0
B0002HRBSU,A1087KNFOF40VD,5.0
B0002J2MV4,A102YRTA0CBQ6I,5.0
B0002JFOKK,A10B6G6W3DW1EY,5.0
B0002JFN60,A10B6G6W3DW1EY,5.0
B0002K6RK0,A104XDJGNKWCWI,5.0
B0002K6XNQ,A102I8TQ9R7KFY,1.0
B0002JY712,A106TZO4J5G1WQ,5.0
B0002K6XNQ,A1016Q5UDME15Z,5.0
B0002K6XNQ,A107WLZKBEB93Y,5.0
B0002K6XNQ,A1048HOW441Z1L,4.0
B0002KVQBA,A103W1P95BXW9T,5.0
B0002KVQBA,A107466OOBXHH7,4.0
B0002KVQBA,A10B6G6W3DW1EY,5.0
B0002LEMWE,A100WO06OQR8BQ,4.0
B0002LHSFW,A102EC3XGCBZ81,5.0
B0002M7FCC,A100UD67AHFODS,5.0
B0002MQGRM,A1087KNFOF40VD,5.0
B0002O77T6,A108EEYSHGDL6O,5.0
B0002OZXGU,A10ARISO1UMIUN,5.0
B0002QIAP4,A10ADBH8H9P880,5.0
B0002QLDLC,A10BPU9QFBFPB2,5.0
B0002RSPE4,A07936821FOVJO6NP4Q8,5.0
B0002SQ0A4,A1053TBGTIEQ8V,5.0
B0002SQ2P2,A100UD67AHFODS,5.0
B0002UHUME,A1053TBGTIEQ8V,5.0
B0002VAQR4,A105TOJ6LTVMBG,5.0
B0002VMV2M,A101AENIWYBBS0,5.0
B0002WYJSU,A105PA6B39V8JL,5.0
B0002ZO5WC,A0955928C2RRWOWZN7UC,5.0
B0002ZPITG,A108AVZFCZ3UWD,4.0
B0002ZPSLY,A103WOAH50V4K7,5.0
B00030DEQE,A100WO06OQR8BQ,5.0
B00032Q30Q,A1053TBGTIEQ8V,4.0
B00032CIJQ,A103L4TOHGBCXR,5.0
B0003QIXBY,A100WO06OQR8BQ,4.0
B00061UHDS,A101OAAMZYWQ3U,4.0
B00062PN6I,A07936821FOVJO6NP4Q8,5.0
B00062PN6I,A1016Q5UDME15Z,5.0
B00065ANYC,A107CTGSINY3GJ,5.0
B00066HL4Q,A1016Q5UDME15Z,5.0
B00066FHEW,A101GFBK6M7TA9,5.0
B00066IO2O,A108GOZ37A7B75,5.0
B00066IJPQ,A10A6YT9AD02PD,3.0
B00066IJPQ,A1076PTK36UDX2,5.0
B00066HP7Y,A1060TU3IGU2UJ,5.0
B00067KT94,A1053TBGTIEQ8V,4.0
B00067JSM8,A0955928C2RRWOWZN7UC,4.0
B0006BB9MG,A100UD67AHFODS,5.0
B0006BB9MG,A07936821FOVJO6NP4Q8,5.0
B0006OCP0I,A1060TU3IGU2UJ,5.0
B0007L8AJA,A1087KNFOF40VD,5.0
B0007M0VXM,A107K10JTO8NSH,5.0
B0007PGADE,A1074GBGMK6136,5.0
B0007PGADE,A108YS80LQZ0SO,5.0
B0007V5X4U,A07936821FOVJO6NP4Q8,4.0
B0007WDIWI,A101GFBK6M7TA9,5.0
B0007WK8NK,A107K10JTO8NSH,4.0
B0007WTHLY,A108XABRHAA9E7,4.0
B0007X2GIO,A10ADBH8H9P880,5.0
B0007XDI54,A108XABRHAA9E7,4.0
B0007Y5HIY,A0284208PB0CNSHI1OC6,4.0
B00080B0L0,A105OCSP35YJG9,5.0
B0009JO2YC,A105XE9Q2XWWZ3,5.0
B0009JR82U,A105XE9Q2XWWZ3,5.0
B0009M1BRU,A108J5O7DG2WIM,5.0
B0009PAYY8,A105TOJ6LTVMBG,5.0
B0009PAZ0Q,A105XE9Q2XWWZ3,5.0
B0009RKL5S,A108YS80LQZ0SO,5.0
B0009SWLE6,A108GOZ37A7B75,5.0
B0009U7MV6,A10471FSILZ25C,4.0
B0009W7OJO,A105XE9Q2XWWZ3,5.0
B0009WU65I,A108YS80LQZ0SO,5.0
B0009Y7AW8,A1007NRYNXDJKL,5.0
B000A1SZ2Y,A101OAAMZYWQ3U,4.0
B000A6PPOK,A1076PTK36UDX2,5.0
B000AA2RCY,A101GFBK6M7TA9,4.0
B000AA2RCY,A104TBOWU2CH4O,4.0
B000AKX15G,A1079CQTAUIX6J,5.0
B000AV14M2,A105XE9Q2XWWZ3,5.0
B000AV14M2,A1053TBGTIEQ8V,4.0
B000B0NC2W,A1076PTK36UDX2,5.0
B000BAX50G,A105OCSP35YJG9,5.0
B000BP8AY2,A1045NW0WUEBP8,4.0
B000BQ7GW8,A107WLZKBEB93Y,4.0
B000BSKO84,A1060TU3IGU2UJ,4.0
B000BTGVUS,A10063PJ5C9WQQ,5.0
B000BVXVTA,A109ZEBPQ5EXEG,5.0
B000BYCKU8,A105OCSP35YJG9,5.0
B000CC1Q4K,A07936821FOVJO6NP4Q8,5.0
B000CH3IIW,A105XE9Q2XWWZ3,5.0
B000CRFOMK,A10BPU9QFBFPB2,5.0
B000CRFOMK,A07936821FOVJO6NP4Q8,5.0
B000CRFOMK,A10B6G6W3DW1EY,5.0
B000DT7ZJM,A105XE9Q2XWWZ3,5.0
B000E1HXL4,A100WO06OQR8BQ,4.0
B000E1S3OA,A1053TBGTIEQ8V,5.0
B000E312X2,A105OEUBD1FCR3,5.0
B000E43GOO,A108EEYSHGDL6O,5.0
B000E457DM,A1099Y358WEMU3,5.0
B000E5GGQI,A107CTGSINY3GJ,5.0
B000E891P8,A1016Q5UDME15Z,5.0
B000E8BGCE,A1053TBGTIEQ8V,5.0
B000EGNZC0,A102XAY1719I61,5.0
B000EGNZC0,A106Z0F1QPUGAX,5.0
B000EGJTL6,A100WO06OQR8BQ,5.0
B000EH6GH0,A108YS80LQZ0SO,5.0
B000EH6GKM,A105OEUBD1FCR3,5.0
B000EHYQAY,A105TOJ6LTVMBG,4.0
B000ENYXZ6,A105TOJ6LTVMBG,5.0
B000ENUCR4,A105TOJ6LTVMBG,5.0
B000EP4TWQ,A105XE9Q2XWWZ3,5.0
B000EOSHGQ,A105OCSP35YJG9,5.0
B000EPJLGK,A1060TU3IGU2UJ,4.0
B000ERAOL4,A100UD67AHFODS,5.0
B000ES8EG0,A108XABRHAA9E7,5.0
B000EZWN88,A100UD67AHFODS,5.0
B000F1SC54,A104XDJGNKWCWI,4.0
B000F28DP2,A108AVZFCZ3UWD,5.0
B000F34FVM,A10AFVU66A79Y1,5.0
B000F6MOQM,A108YS80LQZ0SO,5.0
B000F78582,A108J5O7DG2WIM,4.0
B000F9YN2M,A10BPU9QFBFPB2,5.0
B000F9YN2M,A1016Q5UDME15Z,5.0
B000FEKENO,A106TZO4J5G1WQ,5.0
B000FFQ1VM,A1053TBGTIEQ8V,4.0
B000FHAXPA,A1099Y358WEMU3,4.0
B000FJD5IA,A1060TU3IGU2UJ,5.0
B000FNFSPY,A102I8TQ9R7KFY,5.0
B000FNFSPY,A104TBOWU2CH4O,5.0
B000FNFSPY,A107XK6EES3FO7,5.0
B000067SBX,A10ALOMJECNL2H,5.0
B000GE0CO4,A1060TU3IGU2UJ,5.0
B000GFK81K,A10AFOU40FPKMQ,4.0
B000GL3MOY,A100IX1FUK5IAW,5.0
B000H02B6O,A0817634JN8YPQ7L8C4V,5.0
B000H0IDUW,A10471FSILZ25C,4.0
B000H0K8VY,A100UD67AHFODS,5.0
B000H72MMU,A1053TBGTIEQ8V,4.0
B000HDMPTO,A10BEX8J0MF8HE,5.0
B000HGHMF8,A107CTGSINY3GJ,5.0
B000HHROEQ,A108EEYSHGDL6O,5.0
B000HKGK8Y,A108XABRHAA9E7,4.0
B000HPV3RW,A104TBOWU2CH4O,5.0
B000HPV3RW,A10B6G6W3DW1EY,5.0
B000HPV3RW,A10BHKV1FOS2Y3,5.0
B000HPV3RW,A1016Q5UDME15Z,5.0
B000HPV3RW,A100WO06OQR8BQ,5.0
B000HZDF8W,A100UD67AHFODS,5.0
B000I1IG7U,A1053TBGTIEQ8V,4.0
B000I42XWQ,A10ARISO1UMIUN,4.0
B000I4RFO2,A105TOJ6LTVMBG,4.0
B000I5LACO,A10BHKV1FOS2Y3,5.0
B000I5LACO,A103KKI1Y4TFNQ,5.0
B000I5LACO,A07936821FOVJO6NP4Q8,2.0
B000I5LACO,A1016Q5UDME15Z,5.0
B000I5LACO,A100WO06OQR8BQ,5.0
B000I96AUM,A10B6G6W3DW1EY,3.0
B000I96AUM,A07936821FOVJO6NP4Q8,5.0
B000I963XQ,A1053TBGTIEQ8V,5.0
B000ID7QNI,A109KHEJL08HW9,5.0
B000ID7QNI,A1060TU3IGU2UJ,5.0
B000ID7QNI,A07936821FOVJO6NP4Q8,5.0
B000IK5XWW,A1060TU3IGU2UJ,4.0
B000IMSK8Y,A108EEYSHGDL6O,5.0
B000IV6S9S,A10ALOMJECNL2H,5.0
B000J01I1G,A104XDJGNKWCWI,5.0
B000J0VRM6,A100UD67AHFODS,5.0
B000J1H4VI,A1087KNFOF40VD,5.0
B000J38QBS,A102SVOH0JD2RP,4.0
B000JE7GPY,A10BEX8J0MF8HE,5.0
B000JJM8XE,A102SVOH0JD2RP,4.0
B000JLP5UK,A107CTGSINY3GJ,5.0
B000JLK5PU,A107CTGSINY3GJ,5.0
B000JMJWV2,A1060TU3IGU2UJ,5.0
B000JO7PIM,A105XE9Q2XWWZ3,5.0
B000JPGQ4U,A10ARISO1UMIUN,5.0
B000KKB5YK,A102EC3XGCBZ81,5.0
B000KNCB7C,A107T5GYZZ3ZRP,5.0
B000KNCB7C,A105PA6B39V8JL,4.0
B000KUQ8FG,A1076PTK36UDX2,5.0
B000LP0R3E,A100WO06OQR8BQ,5.0
B000LP0R3E,A105TOJ6LTVMBG,5.0
B000LRI2ZC,A1045NW0WUEBP8,5.0
B000LVJ9W8,A10ARISO1UMIUN,5.0
B000M2GYF6,A105XE9Q2XWWZ3,5.0
B000M2UZBK,A102I8TQ9R7KFY,1.0
B000M2UZBK,A1016Q5UDME15Z,5.0
B000M2UZBK,A107WLZKBEB93Y,5.0
B000M2UZBK,A1048HOW441Z1L,4.0
B000MQK6BK,A105TOJ6LTVMBG,4.0
B000MXWSWI,A105TOJ6LTVMBG,5.0
B000N7HT86,A100WO06OQR8BQ,5.0
B000NO5QV6,A10471FSILZ25C,5.0
B000NO5QVG,A10471FSILZ25C,5.0
B000NV0SG2,A1053TBGTIEQ8V,5.0
B000O8JZIG,A101GFBK6M7TA9,5.0
B000OBLARM,A1045NW0WUEBP8,5.0
B000OFWJO6,A106TZO4J5G1WQ,5.0
B000OG88KY,A10AARPB3N0GZM,5.0
B000P1OA1O,A1070OT6C59GDR,5.0
B000PDR230,A102EC3XGCBZ81,5.0
B000PGCBZG,A106TZO4J5G1WQ,5.0
B000PLTX9S,A104XDJGNKWCWI,4.0
B000PTFDYO,A103HXJHUQQXAS,5.0
B000Q5UMEI,A100WO06OQR8BQ,5.0
B000Q8UAWY,A100UD67AHFODS,5.0
B000Q8UAWY,A105TOJ6LTVMBG,5.0
B000QSOP0M,A100UD67AHFODS,5.0
B000QWEN5K,A105S56ODHGJEK,5.0
B000QZ001I,A107K10JTO8NSH,4.0
B000R0FG5W,A105TOJ6LTVMBG,5.0
B000R9AAJA,A10BHKV1FOS2Y3,4.0
B000RGF28C,A0743345UFTOA4V1Z7W,5.0
B000RQ9TVI,A10A6YT9AD02PD,5.0
B000RSOV50,A10B6G6W3DW1EY,4.0
B000RZQZM0,A108XABRHAA9E7,4.0
B000S5N3M4,A105PA6B39V8JL,5.0
B000SEN9U6,A105TOJ6LTVMBG,5.0
B000SLNNG4,A1076PTK36UDX2,5.0
B000SMVQK8,A10AARPB3N0GZM,5.0
B000TFIVD4,A102EC3XGCBZ81,5.0
B000TS7I6C,A108XABRHAA9E7,5.0
B000TXZIDM,A108X1JFG00VOC,5.0
B000TYL27M,A103ST6BOEEN24,4.0
B000TYL27M,A102YRTA0CBQ6I,4.0
B000U0S304,A100UD67AHFODS,5.0
B000UDBMZE,A0543376H9JO8RU1OJJR,5.0
B000UESR4C,A108YS80LQZ0SO,5.0
B000UESR4C,A108EEYSHGDL6O,5.0
B000UHE8Y2,A105S56ODHGJEK,5.0
B000UHTST2,A109KHEJL08HW9,5.0
B000ULAP4U,A104TBOWU2CH4O,5.0
B000ULAP4U,A105PA6B39V8JL,5.0
B000ULAP4U,A107CTGSINY3GJ,5.0
B000UVKE2I,A0986263H7SX62P1SRDD,5.0
B000UWYM5C,A10ALOMJECNL2H,5.0
B000V6R2OK,A109KHEJL08HW9,5.0
B000VBH2IG,A10471FSILZ25C,5.0
B000VDLA5A,A102XAY1719I61,5.0
B000VDLA5A,A0579276Y8S37XMMI539,4.0
B000VDLA5A,A103WOAH50V4K7,5.0
B000VJWJW2,A10AFVU66A79Y1,5.0
B000VM6TTI,A102I8TQ9R7KFY,5.0
B000VOU91U,A105TOJ6LTVMBG,5.0
B000VR5YA8,A107CTGSINY3GJ,5.0
B000VS4HDM,A10BNT57AVFPUG,5.0
B000VS4HDM,A1013Q9SD2KIE1,5.0
B000VXQZ9Q,A102ASNDNXLYU2,5.0
B000W3V3EM,A10AFVU66A79Y1,5.0
B000W42EI0,A102XAY1719I61,4.0
B000W8SSDG,A10AFVU66A79Y1,5.0
B000W8UIZW,A106Z0F1QPUGAX,5.0
B000WKPHHO,A108EEYSHGDL6O,4.0
B000WX7AQM,A108J5O7DG2WIM,5.0
B000WXIFS4,A105OEUBD1FCR3,5.0
B000X14R28,A109ZEBPQ5EXEG,5.0
B000X23I22,A0743345UFTOA4V1Z7W,5.0
B000X39TQ0,A102ASNDNXLYU2,5.0
B000XSDKP6,A105XE9Q2XWWZ3,5.0
B000XU43IC,A10B6G6W3DW1EY,4.0
B000Y16TY6,A101OAAMZYWQ3U,4.0
B000Y9DRP2,A10AKZ1VFMNCT4,5.0
B000YA1DS4,A10BEX8J0MF8HE,5.0
B000Z3U1P6,A106TZO4J5G1WQ,4.0
B000ZH98LU,A107D6W94H1V07,4.0
B000ZKNW82,A106Z0F1QPUGAX,4.0
B00108UNEY,A100WO06OQR8BQ,5.0
B00108UNEY,A100UD67AHFODS,5.0
B00109Y2DQ,A106TZO4J5G1WQ,5.0
B00109Y2DQ,A102SVOH0JD2RP,5.0
B0010CTM10,A101AENIWYBBS0,5.0
B0010ELVVW,A10471FSILZ25C,5.0
B0010HDY9Q,A10063PJ5C9WQQ,5.0
B0010SB8HA,A100UD67AHFODS,5.0
B0010PKVMQ,A1076PTK36UDX2,5.0
B0010Z28XG,A101A5HAADYZMO,5.0
B00110GAQQ,A103OG69UZTK9,5.0
B00113XADE,A100UD67AHFODS,5.0
B00119OFGY,A1004703RC79J9,4.0
B00119T6NQ,A1060TU3IGU2UJ,4.0
B0011MK09C,A1045NW0WUEBP8,4.0
B0011NVMO8,A10ADBH8H9P880,5.0
B0011UB9CQ,A103OG69UZTK9,5.0
B0011U65F2,A102SVOH0JD2RP,5.0
B001238FXS,A106TZO4J5G1WQ,5.0
B0012MBIJ2,A1016Q5UDME15Z,5.0
B0012OELSA,A101AENIWYBBS0,5.0
B0012Q94AI,A10471FSILZ25C,5.0
B000VBA8CS,A101GFBK6M7TA9,5.0
B0012XFDWO,A1027EV8A9PV1O,5.0
B0012Y2LLE,A10ALOMJECNL2H,5.0
B0012Z3MKW,A1076PTK36UDX2,4.0
B001342KM8,A100WO06OQR8BQ,5.0
B00137NMMW,A101OAAMZYWQ3U,4.0
B0013DCP0G,A108X1JFG00VOC,4.0
B0013DCOZC,A108X1JFG00VOC,4.0
B0013LSEKI,A109KHEJL08HW9,5.0
B0015A6YN6,A10BPU9QFBFPB2,5.0
B0015A8UK6,A1018D502E27E6,4.0
B0015ACUKC,A102SZ9XZ1CK7Q,4.0
B0015CRAZA,A10471FSILZ25C,5.0
B0015DEKP2,A10ARISO1UMIUN,5.0
B0015DNIOG,A1060TU3IGU2UJ,5.0
B0015EWMX8,A10ADBH8H9P880,4.0
B0015DYMVO,A105OCSP35YJG9,5.0
B0015DYMVO,A107K10JTO8NSH,5.0
B0015HS1HQ,A1027EV8A9PV1O,5.0
B0015M22C6,A101A5HAADYZMO,5.0
B0015LTBG2,A107CTGSINY3GJ,5.0
B0015M22C6,A102SVOH0JD2RP,4.0
B0016D3H1O,A105OCSP35YJG9,5.0
B0016IGN2Y,A109ZEBPQ5EXEG,5.0
B0016N3GVA,A106TZO4J5G1WQ,4.0
B0016OEV7C,A105TOJ6LTVMBG,4.0
B0016ORQDI,A107WMIXVFLZLZ,5.0
B00176NOCM,A100UD67AHFODS,5.0
B0017G9C9Q,A108AVZFCZ3UWD,5.0
B0017JY5F4,A10B6G6W3DW1EY,5.0
B0017JY5F4,A10BEX8J0MF8HE,5.0
B000VJWJW2,A10AFVU66A79Y1,5.0
B000VM6TTI,A102I8TQ9R7KFY,5.0
B000VOU91U,A105TOJ6LTVMBG,5.0
B000VR5YA8,A107CTGSINY3GJ,5.0
B000VS4HDM,A10BNT57AVFPUG,5.0
B000VS4HDM,A1013Q9SD2KIE1,5.0
B000VXQZ9Q,A102ASNDNXLYU2,5.0
B000W3V3EM,A10AFVU66A79Y1,5.0
B000W42EI0,A102XAY1719I61,4.0
B000W8SSDG,A10AFVU66A79Y1,5.0
B000W8UIZW,A106Z0F1QPUGAX,5.0
B000WKPHHO,A108EEYSHGDL6O,4.0
B000WX7AQM,A108J5O7DG2WIM,5.0
B000WXIFS4,A105OEUBD1FCR3,5.0
B000X14R28,A109ZEBPQ5EXEG,5.0
B000X23I22,A0743345UFTOA4V1Z7W,5.0
B000X39TQ0,A102ASNDNXLYU2,5.0
B000XSDKP6,A105XE9Q2XWWZ3,5.0
B000XU43IC,A10B6G6W3DW1EY,4.0
B000Y16TY6,A101OAAMZYWQ3U,4.0
B000Y9DRP2,A10AKZ1VFMNCT4,5.0
B000YA1DS4,A10BEX8J0MF8HE,5.0
B000Z3U1P6,A106TZO4J5G1WQ,4.0
B000ZH98LU,A107D6W94H1V07,4.0
B000ZKNW82,A106Z0F1QPUGAX,4.0
B00108UNEY,A100WO06OQR8BQ,5.0
B00108UNEY,A100UD67AHFODS,5.0
B00109Y2DQ,A106TZO4J5G1WQ,5.0
B00109Y2DQ,A102SVOH0JD2RP,5.0
B0010CTM10,A101AENIWYBBS0,5.0
B0010ELVVW,A10471FSILZ25C,5.0
B0010HDY9Q,A10063PJ5C9WQQ,5.0
B0010SB8HA,A100UD67AHFODS,5.0
B0010PKVMQ,A1076PTK36UDX2,5.0
B0010Z28XG,A101A5HAADYZMO,5.0
B00110GAQQ,A103OG69UZTK9,5.0
B00113XADE,A100UD67AHFODS,5.0
B00119OFGY,A1004703RC79J9,4.0
B00119T6NQ,A1060TU3IGU2UJ,4.0
B0011MK09C,A1045NW0WUEBP8,4.0
B0011NVMO8,A10ADBH8H9P880,5.0
B0011UB9CQ,A103OG69UZTK9,5.0
B0011U65F2,A102SVOH0JD2RP,5.0
B001238FXS,A106TZO4J5G1WQ,5.0
B0012MBIJ2,A1016Q5UDME15Z,5.0
B0012OELSA,A101AENIWYBBS0,5.0
B0012Q94AI,A10471FSILZ25C,5.0
B000VBA8CS,A101GFBK6M7TA9,5.0
B0012XFDWO,A1027EV8A9PV1O,5.0
B0012Y2LLE,A10ALOMJECNL2H,5.0
B0012Z3MKW,A1076PTK36UDX2,4.0
B001342KM8,A100WO06OQR8BQ,5.0
B00137NMMW,A101OAAMZYWQ3U,4.0
B0013DCP0G,A108X1JFG00VOC,4.0
B0013DCOZC,A108X1JFG00VOC,4.0
