item,user,rating
0972683275,A11NR4AJK9TNQM,4.0
106171327X,A11JDEMF0W38OE,4.0
106171327X,A12YEFKGOAJQ5M,3.0
106171327X,A130YN8T37O833,5.0
1935009192,A12DQZKRKTNF5E,4.0
6073894996,A11QNB7FPVY3V,5.0
7507825604,A10SIRBLVFKPGU,5.0
7507825604,A108EEYSHGDL6O,5.0
9573212919,A117PS4BRXBZCN,4.0
9573212919,A12UGBVBI2NI7X,3.0
9625993428,A10YHVZ6IOWSW3,5.0
980035977X,A11HZMKR7CJZP8,4.0
980035977X,A11ULAZ4B5ZXC8,4.0
9875961809,A1053TBGTIEQ8V,5.0
9966573445,A1150LHSYZKOXA,5.0
9983891212,A11QNB7FPVY3V,5.0
9983891212,A11T5128OZMUY4,5.0
9983891212,A10NQKIG7NXUR7,5.0
9983039281,A12Z7WW6TDZD9,5.0
B000001ON6,A132FOGSE0HDBL,3.0
B000001ON6,A102L0RVI4LHH3,4.0
B00000DM9W,A11ED8O95W2103,5.0
B00000J061,A11ED8O95W2103,5.0
B00000J0MS,A11ULAZ4B5ZXC8,5.0
B00000J1SC,A1256VJWFLG3P6,5.0
B00000J1T1,A10TIQS452RNF3,4.0
B00000J1T1,A11HMUYEDUOLAI,5.0
B00000J1T1,A11J4T7M9WB69P,5.0
B00000J1QM,A11ZILR2SYADB4,4.0
B00000J1T1,A10MUKBXVI4FZ6,5.0
B00000J1F3,A12XJX3S9TP2H9,5.0
B00000J1T1,A10BH1JDT6SNGA,5.0
B00000J1V7,A135MK4P9G8EDX,5.0
B00000J3G3,A11ED8O95W2103,3.0
B00000J4EY,A129PEWY3CT6QX,4.0
B00000J4EY,A11OTLEDSW8ZXD,5.0
B00000J1V5,A11J4T7M9WB69P,5.0
B00000J1V5,A10P36VBIEZOCW,3.0
B00000J1V5,A12NYW41LVDZIZ,5.0
B00000J1V5,A13A9XV81EQF30,5.0
B00000J1V5,A105TOJ6LTVMBG,4.0
B00000J1V5,A10CRW7XRJBJ2G,5.0
B00000J1V5,A12SBVZP1QK9GM,4.0
B00000JCT8,A10G37KYLB8H3E,4.0
B00000JD34,A10DY9G2HIXTBG,5.0
B00000JHY4,A11XXN3D2IM1UK,4.0
B00000JPPI,A132L0QWXE6B1,5.0
B00000JPPI,A11ZILR2SYADB4,4.0
B00000K13L,A1357K058UOQQW,5.0
B00000K135,A10I3GPBSB5MEE,4.0
B00000K135,A11LTA871TBYVT,5.0
B00000K135,A12XHO23XDM515,5.0
B00000K135,A12C7XYE27B7KK,5.0
B00000K135,A12XJX3S9TP2H9,5.0
B00000K135,A121XLGXT8F4Q5,4.0
B00000K135,A127GZ51PD786F,4.0
B00000K2YV,A125J7MDOUXXQJ,5.0
B00000K2YR,A1188LXSJLEP1C,5.0
B00001P4XH,A11LIDCB9UBF9H,3.0
B00001OXQB,A11ED8O95W2103,5.0
B00001P505,A116KCAIE14IM5,5.0
B00001P4XH,A113GBUT0UMRQY,5.0
B00001P4XH,A11ZLN8VL4PYHD,5.0
B00001P4ZH,A110XS3KNAEIO6,5.0
B00001P4XA,A13BKSM28QAGGY,5.0
B00001P4XH,A10TI75YHEDJ55,4.0
B00001P4ZH,A119ZRP5ZH6T6P,3.0
B00001P4ZH,A1027EV8A9PV1O,5.0
B00001P4ZH,A130WL3J4YFXK9,5.0
B00001W0DC,A12ENBT314RFXR,5.0
B00001P4ZH,A10X33VL24RGDK,5.0
B00001P4ZH,A118A49ORGNEUM,3.0
B00001WRSJ,A131UVEP5CEMAD,5.0
B00001WRSJ,A11P105WVK5240,5.0
B00001WRSJ,A10G79D1O9W0ZG,5.0
B00001WRSJ,A119ZRP5ZH6T6P,5.0
B00001WRSJ,A11Q90WXH3CS4,5.0
B00001WRSJ,A10X3LYWCWIDAH,5.0
B0000225BD,A12AT4IWHODYRP,4.0
B0000228GG,A11ED8O95W2103,3.0
B000023VUL,A10C84Y38RT22P,5.0
B000023VW2,A11KZ906QD08C5,4.0
B00002EIYA,A12LH2100CKQO,5.0
B00002EQCW,A100WO06OQR8BQ,5.0
B00002EQCW,A102EC3XGCBZ81,5.0
B00002N7FQ,A11V9E4044WFNK,5.0
B00002N7FQ,A119UPKK8J0VWQ,5.0
B00002NAQZ,A11TJ0KCLMRESJ,5.0
B00003CW9S,A10C84Y38RT22P,5.0
B00003CWFA,A108J5O7DG2WIM,5.0
B00003WGP5,A127P8A5QQ05KN,5.0
B00004SABB,A10OVC2MHYOBZZ,5.0
B00004SABB,A10BMHSLDHDLCL,5.0
B00004SABB,A10CRW7XRJBJ2G,2.0
B00004SB92,A10ARISO1UMIUN,5.0
B00004SY4H,A10XB56QFYLVC8,5.0
B00004SYO5,A11P105WVK5240,5.0
B00004T1XK,A110PC8C5Y7MQD,4.0
B00004T8R2,A120IC3JYX07GN,3.0
B00004T8R2,A121E1HU5SMBJ4,5.0
B00004T8R2,A10O7THJ2O20AG,5.0
B00004TB3V,A10ARISO1UMIUN,5.0
B00004T8R2,A12YN0X0CRN1AV,5.0
B00004T8R2,A11HZMKR7CJZP8,5.0
B00004T8R2,A109KHEJL08HW9,5.0
B00004T8R2,A11NFFG2EQD1X6,5.0
B00004TDSC,A10HS51L0GC1R4,5.0
B00004THCZ,A129T12T15BR2F,4.0
B00004THCZ,A12RTV931Q6DUJ,5.0
B00004THD0,A12S8UQEIPZJKE,4.0
B00004THDC,A1143YEAZYMYHJ,4.0
